Date ;Index Heures creuses (kWh);Index Heures pleines (kWh)
2021-10-25;12256;17716
2021-10-24;12249;17702
2021-10-23;12241;17687
2021-10-22;12234;17674
2021-10-21;12226;17663
2021-10-20;12220;17651
2021-10-19;12215;17639
2021-10-18;12209;17628
2021-10-17;12201;17616
2021-10-16;12195;17604
2021-10-15;12184;17592
2021-10-14;12177;17581
2021-10-13;12169;17570
2021-10-12;12161;17557
2021-10-11;12154;17545
2021-10-10;12148;17533
2021-10-09;12140;17521
2021-10-08;12133;17510
2021-10-07;12127;17499
2021-10-06;12119;17487
2021-10-05;12112;17473
2021-10-04;12106;17459
2021-10-03;12103;17445
2021-10-02;12099;17434
2021-10-01;12096;17427
2021-09-30;12094;17414
2021-09-29;12090;17404
2021-09-28;12087;17396
2021-09-27;12084;17386
2021-09-26;12081;17378
2021-09-25;12077;17372
2021-09-24;12075;17365
2021-09-23;12071;17354
2021-09-22;12067;17346
2021-09-21;12062;17338
2021-09-20;12058;17329
2021-09-19;12053;17320
2021-09-18;12051;17310
2021-09-17;12046;17299
2021-09-16;12042;17291
2021-09-15;12040;17280
2021-09-14;12037;17271
2021-09-13;12031;17259
2021-09-12;12028;17247
2021-09-11;12023;17238
2021-09-10;12020;17228
2021-09-09;12017;17219
2021-09-08;12015;17209
2021-09-06;12005;17191
2021-09-05;12000;17183
2021-09-04;11997;17173
2021-09-03;11994;17163
2021-09-02;11990;17153
2021-09-01;11985;17142
2021-08-31;11980;17132
2021-08-30;11976;17122
2021-08-29;11971;17114
2021-08-28;11966;17106
2021-08-27;11964;17098
2021-08-26;11960;17090
2021-08-25;11954;17082
2021-08-24;11949;17073
2021-08-23;11946;17063
2021-08-22;11943;17057
2021-08-21;11939;17049
2021-08-20;11937;17042
2021-08-19;11933;17036
2021-08-18;11930;17029
2021-08-17;11923;17024
2021-08-16;11918;17019
2021-08-15;11915;17012
2021-08-14;11912;16996
2021-08-13;11908;16984
2021-08-12;11904;16978
2021-08-11;11900;16973
2021-08-10;11898;16966
2021-08-09;11896;16959
2021-08-08;11894;16948
2021-08-07;11892;16940
2021-08-06;11890;16932
2021-08-05;11888;16924
2021-08-04;11884;16912
2021-08-03;11882;16905
2021-08-02;11879;16900
2021-08-01;11874;16893
2021-07-31;11870;16882
2021-07-30;11868;16873
2021-07-29;11864;16864
2021-07-28;11862;16851
2021-07-27;11859;16842
2021-07-26;11856;16831
2021-07-25;11854;16826
2021-07-24;11852;16820
2021-07-23;11848;16814
2021-07-22;11844;16807
2021-07-21;11840;16798
2021-07-20;11838;16792
2021-07-19;11835;16783
2021-07-18;11833;16776
2021-07-17;11830;16766
